        Frequency / THz                Eps'/real
----------------------------------------------------------------------
            0.0099999998                        2.600039
             0.010559925                       2.6000435
             0.011151202                       2.6000485
             0.011775586                        2.600054
             0.012192192                       2.6000581
              0.01243493                       2.6000602
             0.013131193                       2.6000674
             0.013866441                        2.600075
             0.014384384                       2.6000807
             0.014642858                       2.6000836
             0.015462748                       2.6000934
             0.016328545                       2.6001041
             0.016576577                       2.6001072
             0.017242823                        2.600116
             0.018208291                       2.6001294
             0.018768769                       2.6001375
              0.01922782                       2.6001444
             0.020304432                       2.6001611
             0.020960961                       2.6001716
             0.021441329                       2.6001794
             0.022641882                       2.6002002
             0.023153152                       2.6002095
             0.023909658                       2.6002233
             0.025248419                       2.6002491
             0.025345346                        2.600251
             0.026662141                       2.6002779
             0.027537538                       2.6002965
             0.028155021                       2.6003098
              0.02972973                       2.6003456
             0.029731492                       2.6003456
             0.031396233                       2.6003857
             0.031921923                       2.6003988
             0.033154186                       2.6004303
             0.034114115                       2.6004555
             0.035010573                       2.6004798
             0.036306307                       2.6005163
             0.036970902                       2.6005354
             0.038498498                       2.6005807
             0.039040994                       2.6005974
              0.04069069                       2.6006491
             0.041226998                       2.6006665
             0.042882882                       2.6007214
               0.0435354                       2.6007438
             0.045075074                       2.6007977
             0.045973059                       2.6008298
             0.047267266                       2.6008778
             0.048547205                       2.6009262
             0.049459461                       2.6009617
             0.051265482                       2.6010339
             0.051651653                       2.6010497
             0.053843845                       2.6011415
             0.054135967                       2.6011541
             0.056036036                       2.6012373
             0.057167172                       2.6012883
             0.058228228                       2.6013372
             0.060368106                       2.6014385
              0.06042042                       2.6014409
             0.062612616                       2.6015489
              0.06374827                       2.6016064
             0.064804807                       2.6016607
             0.066996999                       2.6017768
             0.067317694                        2.601794
             0.069189191                       2.6018968
              0.07108698                       2.6020041
             0.071381383                        2.602021
             0.073573574                       2.6021495
             0.075067319                       2.6022394
             0.075765766                        2.602282
             0.077957958                       2.6024187
             0.079270527                       2.6025026
              0.08015015                       2.6025596
             0.082342342                       2.6027048
             0.083709083                       2.6027975
             0.084534533                       2.6028543
             0.086726725                        2.603008
             0.088396162                       2.6031282
             0.088918917                       2.6031661
             0.091111109                       2.6033287
               0.0933033                       2.6034956
             0.093345687                       2.6034989
             0.095495492                        2.603667
             0.097687684                       2.6038427
             0.098572344                        2.603915
             0.099879883                        2.604023
              0.10207208                        2.604208
              0.10409165                       2.6043823
              0.10426427                       2.6043975
              0.10645646                       2.6045916
              0.10864865                       2.6047902
              0.10992001                       2.6049078
              0.11084084                       2.6049938
              0.11303303                        2.605202
              0.11522523                       2.6054149
               0.1160747                       2.6054988
              0.11741742                       2.6056328
              0.11960961                       2.6058555
               0.1218018                       2.6060832
              0.12257402                       2.6061645
              0.12399399                       2.6063156
              0.12618619                       2.6065533
              0.12837838                        2.606796
              0.12943724                        2.606915
              0.13057058                       2.6070437
              0.13276276                       2.6072967
              0.13495496                       2.6075549
              0.13668476                       2.6077623
              0.13714714                       2.6078184
              0.13933934                       2.6080873
              0.14153153                       2.6083615
              0.14372373                       2.6086411
              0.14433809                       2.6087205
              0.14591591                       2.6089263
              0.14810811                       2.6092172
              0.15030029                       2.6095135
              0.15241992                       2.6098053
              0.15249249                       2.6098156
              0.15468468                       2.6101234
              0.15687688                       2.6104372
              0.15906908                       2.6107566
               0.1609543                       2.6110361
              0.16126126                       2.6110821
              0.16345346                       2.6114137
              0.16564564                       2.6117513
              0.16783784                       2.6120951
              0.16996653                       2.6124349
              0.17003003                       2.6124451
              0.17222223                       2.6128016
              0.17441441                       2.6131644
              0.17660661                       2.6135335
              0.17879879                       2.6139095
              0.17948338                        2.614028
              0.18099099                       2.6142919
              0.18318318                        2.614681
              0.18537538                        2.615077
              0.18756756                       2.6154797
              0.18953311                       2.6158469
              0.18975976                       2.6158895
              0.19195195                       2.6163065
              0.19414414                       2.6167305
              0.19633633                       2.6171618
              0.19852853                       2.6176004
              0.20014554                       2.6179285
              0.20072073                       2.6180463
              0.20291291                       2.6184998
              0.20510511                       2.6189609
               0.2072973                       2.6194298
              0.20948949                       2.6199064
               0.2113522                       2.6203177
              0.21168168                       2.6203909
              0.21387388                       2.6208835
              0.21606606                       2.6213841
              0.21825826                       2.6218929
              0.22045045                       2.6224098
              0.22264265                       2.6229353
              0.22318634                       2.6230671
              0.22483483                       2.6234694
              0.22702703                        2.624012
              0.22921921                       2.6245632
              0.23141141                       2.6251233
               0.2336036                       2.6256924
               0.2356831                       2.6262403
               0.2357958                       2.6262703
                0.237988                       2.6268573
              0.24018018                       2.6274536
              0.24237238                       2.6280591
              0.24456456                       2.6286743
              0.24675676                       2.6292987
              0.24887958                       2.6299126
              0.24894895                       2.6299329
              0.25114113                       2.6305766
              0.25333333                       2.6312301
              0.25552553                       2.6318936
              0.25771773                       2.6325669
               0.2599099                       2.6332502
               0.2621021                       2.6339436
              0.26281497                       2.6341712
               0.2642943                       2.6346471
               0.2664865                        2.635361
              0.26867867                        2.636085
              0.27087086                       2.6368196
              0.27306306                       2.6375642
              0.27525526                       2.6383195
              0.27744746                       2.6390851
              0.27753064                       2.6391141
              0.27963963                       2.6398609
              0.28183183                       2.6406474
              0.28402403                       2.6414442
              0.28621623                       2.6422513
               0.2884084                       2.6430688
               0.2906006                       2.6438966
               0.2927928                       2.6447344
              0.29307029                       2.6448412
                0.294985                       2.6455824
              0.29717717                       2.6464403
              0.29936936                       2.6473079
              0.30156156                        2.648185
              0.30375376                       2.6490717
              0.30594593                       2.6499672
              0.30813813                       2.6508718
              0.30948001                       2.6514294
              0.31033033                       2.6517844
              0.31252253                       2.6527054
               0.3147147                       2.6536341
               0.3169069                       2.6545699
               0.3190991                       2.6555123
               0.3212913                        2.656461
               0.3234835                       2.6574149
              0.32567567                       2.6583734
              0.32680857                       2.6588702
              0.32786787                       2.6593356
              0.33006006                        2.660301
              0.33225226                        2.661268
              0.33444443                        2.662236
              0.33663663                       2.6632035
              0.33882883                       2.6641693
