        Frequency / THz                Eps''/real
----------------------------------------------------------------------
            0.0099999998                       89.875519
             0.010559925                       85.109993
             0.011151202                        80.59716
             0.011775586                       76.323608
             0.012192192                       73.715637
              0.01243493                       72.276657
             0.013131193                        68.44429
             0.013866441                       64.815132
             0.014384384                       62.481312
             0.014642858                       61.378399
             0.015462748                       58.123898
             0.016328545                       55.041962
             0.016576577                       54.218384
             0.017242823                        52.12344
             0.018208291                       49.359665
             0.018768769                       47.885677
              0.01922782                       46.742439
             0.020304432                       44.263988
             0.020960961                       42.877575
             0.021441329                       41.916954
             0.022641882                       39.694366
             0.023153152                       38.817829
             0.023909658                        37.58963
             0.025248419                       35.596493
             0.025345346                       35.460365
             0.026662141                       33.709038
             0.027537538                       32.637455
             0.028155021                       31.921665
              0.02972973                       30.230856
             0.029731492                       30.229065
             0.031396233                       28.626211
             0.031921923                       28.154795
             0.033154186                       27.108347
             0.034114115                       26.345552
             0.035010573                       25.670965
             0.036306307                       24.754795
             0.036970902                       24.309799
             0.038498498                       23.345201
             0.039040994                       23.020805
              0.04069069                       22.087488
             0.041226998                       21.800161
             0.042882882                       20.958366
               0.0435354                       20.644238
             0.045075074                       19.939072
             0.045973059                       19.549606
             0.047267266                       19.014324
             0.048547205                       18.513016
             0.049459461                       18.171553
             0.051265482                       17.531389
             0.051651653                       17.400318
             0.053843845                       16.691883
             0.054135967                       16.601812
             0.056036036                       16.038879
             0.057167172                       15.721525
             0.058228228                       15.435042
             0.060368106                       14.887914
              0.06042042                       14.875024
             0.062612616                       14.354219
              0.06374827                       14.098503
             0.064804807                        13.86865
             0.066996999                       13.414858
             0.067317694                        13.35095
             0.069189191                        12.98982
              0.07108698                       12.643035
             0.071381383                       12.590891
             0.073573574                       12.215734
             0.075067319                       11.972656
             0.075765766                       11.862286
             0.077957958                       11.528716
             0.079270527                       11.337823
              0.08015015                       11.213393
             0.082342342                       10.914861
             0.083709083                       10.736651
             0.084534533                       10.631811
             0.086726725                        10.36307
             0.088396162                       10.167356
             0.088918917                       10.107581
             0.091111109                       9.8643866
               0.0933033                       9.6326189
             0.093345687                       9.6282454
             0.095495492                       9.4114933
             0.097687684                       9.2002916
             0.098572344                       9.1177216
             0.099879883                       8.9983606
              0.10207208                       8.8051033
              0.10409165                       8.6342678
              0.10426427                       8.6199732
              0.10645646                       8.4424677
              0.10864865                       8.2721252
              0.10992001                       8.1764479
              0.11084084                       8.1085205
              0.11303303                        7.951261
              0.11522523                       7.7999864
               0.1160747                       7.7429032
              0.11741742                       7.6543598
              0.11960961                       7.5140715
               0.1218018                       7.3788333
              0.12257402                       7.3323464
              0.12399399                       7.2483768
              0.12618619                       7.1224532
              0.12837838                       7.0008297
              0.12943724                       6.9435592
              0.13057058                       6.8832908
              0.13276276                       6.7696328
              0.13495496                        6.659668
              0.13668476                        6.575387
              0.13714714                       6.5532184
              0.13933934                       6.4501181
              0.14153153                       6.3502116
              0.14372373                       6.2533531
              0.14433809                       6.2267365
              0.14591591                       6.1594048
              0.14810811                       6.0682373
              0.15030029                       5.9797297
              0.15241992                       5.8965726
              0.15249249                       5.8937669
              0.15468468                       5.8102403
              0.15687688                       5.7290483
              0.15906908                        5.650094
               0.1609543                       5.5839152
              0.16126126                       5.5732865
              0.16345346                        5.498539
              0.16564564                       5.4257698
              0.16783784                       5.3549023
              0.16996653                       5.2878361
              0.17003003                       5.2858615
              0.17222223                       5.2185783
              0.17441441                        5.152987
              0.17660661                       5.0890236
              0.17879879                       5.0266285
              0.17948338                       5.0074558
              0.18099099                       4.9657454
              0.18318318                       4.9063191
              0.18537538                       4.8482985
              0.18756756                       4.7916341
              0.18953311                       4.7419429
              0.18975976                        4.736279
              0.19195195                       4.6821885
              0.19414414                       4.6293192
              0.19633633                       4.5776305
              0.19852853                       4.5270834
              0.20014554                       4.4905081
              0.20072073                       4.4776402
              0.20291291                       4.4292655
              0.20510511                       4.3819251
               0.2072973                       4.3355856
              0.20948949                        4.290216
               0.2113522                       4.2524052
              0.21168168                       4.2457862
              0.21387388                       4.2022672
              0.21606606                       4.1596313
              0.21825826                       4.1178517
              0.22045045                       4.0769033
              0.22264265                       4.0367613
              0.22318634                       4.0269275
              0.22483483                       3.9974017
              0.22702703                       3.9588025
              0.22921921                       3.9209416
              0.23141141                       3.8837981
               0.2336036                       3.8473516
               0.2356831                       3.8134053
               0.2357958                       3.8115828
                0.237988                       3.7764728
              0.24018018                       3.7420039
              0.24237238                       3.7081585
              0.24456456                       3.6749198
              0.24675676                       3.6422718
              0.24887958                       3.6112049
              0.24894895                       3.6101987
              0.25114113                       3.5786855
              0.25333333                       3.5477178
              0.25552553                       3.5172813
              0.25771773                       3.4873629
               0.2599099                       3.4579489
               0.2621021                       3.4290271
              0.26281497                       3.4197259
               0.2642943                       3.4005849
               0.2664865                       3.3726108
              0.26867867                        3.345093
              0.27087086                       3.3180208
              0.27306306                       3.2913833
              0.27525526                       3.2651699
              0.27744746                       3.2393708
              0.27753064                       3.2383997
              0.27963963                       3.2139764
              0.28183183                       3.1889768
              0.28402403                       3.1643631
              0.28621623                       3.1401267
               0.2884084                       3.1162586
               0.2906006                       3.0927505
               0.2927928                       3.0695946
              0.29307029                       3.0666883
                0.294985                       3.0467827
              0.29717717                       3.0243075
              0.29936936                       3.0021615
              0.30156156                       2.9803374
              0.30375376                       2.9588282
              0.30594593                       2.9376273
              0.30813813                       2.9167283
              0.30948001                       2.9040813
              0.31033033                       2.8961241
              0.31252253                       2.8758092
               0.3147147                       2.8557775
               0.3169069                       2.8360226
               0.3190991                       2.8165393
               0.3212913                        2.797322
               0.3234835                       2.7783649
              0.32567567                       2.7596631
              0.32680857                       2.7500966
              0.32786787                       2.7412114
              0.33006006                       2.7230051
