        Frequency / THz                Eps'' (Fit)/real
----------------------------------------------------------------------
            0.0099999998                       178.28714
             0.010559925                       168.83507
             0.011151202                       159.88426
             0.011775586                       151.40813
             0.012192192                       146.23553
              0.01243493                       143.38152
             0.013131193                       135.78058
             0.013866441                       128.58276
             0.014384384                       123.95409
             0.014642858                        121.7667
             0.015462748                       115.31215
             0.016328545                       109.19995
             0.016576577                       107.56663
             0.017242823                       103.41196
             0.018208291                       97.930984
             0.018768769                       95.007889
              0.01922782                       92.740761
             0.020304432                       87.825874
             0.020960961                       85.076614
             0.021441329                        83.17173
             0.022641882                       78.764519
             0.023153152                       77.026466
             0.023909658                       74.591156
             0.025248419                       70.639252
             0.025345346                       70.369347
             0.026662141                       66.897064
             0.027537538                        64.77256
             0.028155021                       63.353485
              0.02972973                       60.001553
             0.029731492                       59.998001
             0.031396233                       56.820644
             0.031921923                       55.886196
             0.033154186                       53.811985
             0.034114115                       52.300091
             0.035010573                       50.963089
             0.036306307                       49.147373
             0.036970902                       48.265495
             0.038498498                          46.354
             0.039040994                       45.711201
              0.04069069                         43.8619
             0.041226998                       43.292614
             0.042882882                       41.624866
               0.0435354                       41.002563
             0.045075074                       39.605686
             0.045973059                       38.834244
             0.047267266                       37.774044
             0.048547205                       36.781219
             0.049459461                       36.105007
             0.051265482                       34.837395
             0.051651653                       34.577873
             0.053843845                       33.175304
             0.054135967                       32.996994
             0.056036036                       31.882681
             0.057167172                       31.254562
             0.058228228                       30.687592
             0.060368106                       29.604919
              0.06042042                       29.579414
             0.062612616                       28.549021
              0.06374827                       28.043169
             0.064804807                        27.58852
             0.066996999                        26.69105
             0.067317694                       26.564672
             0.069189191                       25.850616
              0.07108698                       25.165043
             0.071381383                       25.061968
             0.073573574                       24.320475
             0.075067319                       23.840124
             0.075765766                       23.622042
             0.077957958                       22.963039
             0.079270527                       22.585978
              0.08015015                       22.340229
             0.082342342                       21.750721
             0.083709083                       21.398884
             0.084534533                       21.191925
             0.086726725                       20.661512
             0.088396162                       20.275316
             0.088918917                       20.157381
             0.091111109                       19.677637
               0.0933033                        19.22056
             0.093345687                       19.211937
             0.095495492                        18.78459
             0.097687684                       18.368303
             0.098572344                       18.205587
             0.099879883                       17.970406
              0.10207208                       17.589712
              0.10409165                       17.253281
              0.10426427                       17.225136
              0.10645646                       16.875683
              0.10864865                       16.540438
              0.10992001                       16.352186
              0.11084084                       16.218555
              0.11303303                       15.909261
              0.11522523                       15.611834
               0.1160747                       15.499627
              0.11741742                        15.32561
              0.11960961                       15.049973
               0.1218018                       14.784351
              0.12257402                       14.693069
              0.12399399                       14.528214
              0.12618619                       14.281066
              0.12837838                       14.042446
              0.12943724                       13.930116
              0.13057058                       13.811927
              0.13276276                       13.589105
              0.13495496                       13.373606
              0.13668476                       13.208498
              0.13714714                       13.165078
              0.13933934                       12.963193
              0.14153153                       12.767641
              0.14372373                       12.578134
              0.14433809                       12.526071
              0.14591591                       12.394397
              0.14810811                       12.216175
              0.15030029                       12.043226
              0.15241992                       11.880803
              0.15249249                       11.875323
              0.15468468                       11.712253
              0.15687688                       11.553809
              0.15906908                       11.399804
               0.1609543                       11.270773
              0.16126126                       11.250054
              0.16345346                        11.10439
              0.16564564                       10.962647
              0.16783784                       10.824674
              0.16996653                       10.694165
              0.17003003                       10.690323
              0.17222223                       10.559457
              0.17441441                       10.431943
              0.17660661                       10.307658
              0.17879879                       10.186481
              0.17948338                       10.149259
              0.18099099                       10.068301
              0.18318318                       9.9530087
              0.18537538                       9.8405027
              0.18756756                       9.7306843
              0.18953311                        9.634429
              0.18975976                       9.6234608
              0.19195195                       9.5187435
              0.19414414                       9.4164457
              0.19633633                       9.3164892
              0.19852853                       9.2187939
              0.20014554                       9.1481371
              0.20072073                       9.1232862
              0.20291291                       9.0298948
              0.20510511                       8.9385529
               0.2072973                       8.8491945
              0.20948949                       8.7617579
               0.2113522                       8.6889277
              0.21168168                       8.6761827
              0.21387388                        8.592411
              0.21606606                       8.5103893
              0.21825826                       8.4300632
              0.22045045                       8.3513842
              0.22264265                       8.2743006
              0.22318634                       8.2554245
              0.22483483                       8.1987677
              0.22702703                       8.1247406
              0.22921921                       8.0521746
              0.23141141                       7.9810295
               0.2336036                       7.9112639
               0.2356831                       7.8463259
               0.2357958                       7.8428402
                0.237988                       7.7757211
              0.24018018                       7.7098703
              0.24237238                       7.6452537
              0.24456456                       7.5818377
              0.24675676                       7.5195904
              0.24887958                       7.4603972
              0.24894895                       7.4584808
              0.25114113                       7.3984795
              0.25333333                       7.3395567
              0.25552553                       7.2816854
              0.25771773                       7.2248378
               0.2599099                       7.1689887
               0.2621021                       7.1141129
              0.26281497                       7.0964732
               0.2642943                       7.0601854
               0.2664865                       7.0071831
              0.26867867                       6.9550834
              0.27087086                       6.9038644
              0.27306306                       6.8535047
              0.27525526                       6.8039832
              0.27744746                       6.7552805
              0.27753064                        6.753448
              0.27963963                        6.707377
              0.28183183                        6.660254
              0.28402403                       6.6138935
              0.28621623                       6.5682774
               0.2884084                       6.5233893
               0.2906006                       6.4792123
               0.2927928                         6.43573
              0.29307029                        6.430275
                0.294985                       6.3929276
              0.29717717                       6.3507891
              0.29936936                       6.3093004
              0.30156156                       6.2684474
              0.30375376                       6.2282157
              0.30594593                        6.188592
              0.30813813                       6.1495633
              0.30948001                       6.1259613
              0.31033033                       6.1111169
              0.31252253                       6.0732408
               0.3147147                       6.0359225
               0.3169069                       5.9991503
               0.3190991                        5.962913
               0.3212913                       5.9271998
               0.3234835                       5.8920002
              0.32567567                       5.8573027
              0.32680857                       5.8395653
              0.32786787                       5.8230982
              0.33006006                       5.7893763
              0.33225226                       5.7561269
              0.33444443                       5.7233415
              0.33663663                       5.6910105
              0.33882883                       5.6591253
              0.34102103                        5.627677
               0.3432132                       5.5966568
              0.34510741                       5.5701923
               0.3454054                       5.5660567
               0.3475976                       5.5358691
               0.3497898                       5.5060859
              0.35198197                       5.4766994
              0.35417417                       5.4477015
              0.35636637                        5.419086
              0.35855857                       5.3908453
              0.36075076                       5.3629727
              0.36294293                       5.3354611
              0.36443084                       5.3169909
              0.36513513                       5.3083043
              0.36732733                       5.2814956
              0.36951953                       5.2550287
               0.3717117                       5.2288976
               0.3739039                       5.2030964
               0.3760961                        5.177619
               0.3782883                       5.1524596
              0.38048047                       5.1276131
              0.38267267                       5.1030736
