        Frequency / THz                Eps' (Fit)/real
----------------------------------------------------------------------
            0.0099999998                       5.3697114
             0.010559925                       5.3465137
             0.011151202                       5.3257089
             0.011775586                       5.3070502
             0.012192192                       5.2961617
              0.01243493                       5.2903152
             0.013131193                       5.2753053
             0.013866441                       5.2618427
             0.014384384                       5.2535706
             0.014642858                       5.2497663
             0.015462748                       5.2389331
             0.016328545                       5.2292147
             0.016576577                       5.2267065
             0.017242823                       5.2204952
             0.018208291                       5.2126708
             0.018768769                       5.2086701
              0.01922782                       5.2056494
             0.020304432                       5.1993461
             0.020960961                       5.1959672
             0.021441329                       5.1936874
             0.022641882                       5.1886053
             0.023153152                       5.1866746
             0.023909658                       5.1840396
             0.025248419                       5.1799359
             0.025345346                       5.1796632
             0.026662141                       5.1762457
             0.027537538                       5.1742344
             0.028155021                        5.172925
              0.02972973                       5.1699371
             0.029731492                       5.1699338
             0.031396233                       5.1672378
             0.031921923                       5.1664696
             0.033154186                        5.164804
             0.034114115                       5.1636238
             0.035010573                       5.1626034
             0.036306307                       5.1612525
             0.036970902                       5.1606102
             0.038498498                       5.1592493
             0.039040994                       5.1588011
              0.04069069                        5.157536
             0.041226998                       5.1571536
             0.042882882                       5.1560531
               0.0435354                       5.1556492
             0.045075074                       5.1547556
             0.045973059                       5.1542692
             0.047267266                       5.1536088
             0.048547205                        5.152998
             0.049459461                       5.1525855
             0.051265482                       5.1518197
             0.051651653                       5.1516638
             0.053843845                       5.1508265
             0.054135967                       5.1507206
             0.056036036                       5.1500597
             0.057167172                       5.1496878
             0.058228228                       5.1493521
             0.060368106                       5.1487088
              0.06042042                       5.1486936
             0.062612616                       5.1480775
              0.06374827                       5.1477723
             0.064804807                       5.1474962
             0.066996999                       5.1469455
             0.067317694                       5.1468668
             0.069189191                       5.1464195
              0.07108698                       5.1459823
             0.071381383                       5.1459155
             0.073573574                       5.1454296
             0.075067319                       5.1451073
             0.075765766                        5.144959
             0.077957958                       5.1445012
             0.079270527                       5.1442323
              0.08015015                       5.1440539
             0.082342342                       5.1436157
             0.083709083                       5.1433468
             0.084534533                       5.1431851
             0.086726725                       5.1427603
             0.088396162                       5.1424398
             0.088918917                       5.1423397
             0.091111109                       5.1419234
               0.0933033                       5.1415091
             0.093345687                       5.1415014
             0.095495492                       5.1410971
             0.097687684                       5.1406856
             0.098572344                       5.1405201
             0.099879883                        5.140275
              0.10207208                       5.1398635
              0.10409165                       5.1394844
              0.10426427                        5.139452
              0.10645646                       5.1390386
              0.10864865                       5.1386237
              0.10992001                       5.1383824
              0.11084084                        5.138207
              0.11303303                       5.1377873
              0.11522523                       5.1373653
               0.1160747                       5.1372008
              0.11741742                       5.1369405
              0.11960961                       5.1365118
               0.1218018                       5.1360798
              0.12257402                       5.1359267
              0.12399399                       5.1356444
              0.12618619                       5.1352048
              0.12837838                       5.1347609
              0.12943724                       5.1345448
              0.13057058                       5.1343126
              0.13276276                       5.1338606
              0.13495496                       5.1334033
              0.13668476                       5.1330395
              0.13714714                       5.1329417
              0.13933934                       5.1324754
              0.14153153                       5.1320038
              0.14372373                       5.1315274
              0.14433809                        5.131393
              0.14591591                       5.1310458
              0.14810811                       5.1305594
              0.15030029                       5.1300673
              0.15241992                       5.1295867
              0.15249249                         5.12957
              0.15468468                       5.1290674
              0.15687688                       5.1285596
              0.15906908                        5.128046
               0.1609543                       5.1276002
              0.16126126                       5.1275272
              0.16345346                       5.1270022
              0.16564564                        5.126472
              0.16783784                       5.1259365
              0.16996653                       5.1254106
              0.17003003                       5.1253948
              0.17222223                       5.1248474
              0.17441441                       5.1242943
              0.17660661                       5.1237359
              0.17879879                       5.1231713
              0.17948338                       5.1229935
              0.18099099                       5.1226006
              0.18318318                       5.1220245
              0.18537538                       5.1214423
              0.18756756                       5.1208544
              0.18953311                       5.1203222
              0.18975976                       5.1202607
              0.19195195                       5.1196609
              0.19414414                       5.1190553
              0.19633633                       5.1184435
              0.19852853                        5.117826
              0.20014554                       5.1173668
              0.20072073                       5.1172028
              0.20291291                       5.1165733
              0.20510511                       5.1159382
               0.2072973                       5.1152968
              0.20948949                       5.1146493
               0.2113522                       5.1140947
              0.21168168                       5.1139965
              0.21387388                        5.113337
              0.21606606                       5.1126719
              0.21825826                       5.1120009
              0.22045045                       5.1113238
              0.22264265                        5.110641
              0.22318634                       5.1104708
              0.22483483                        5.109952
              0.22702703                       5.1092572
              0.22921921                       5.1085563
              0.23141141                       5.1078496
               0.2336036                       5.1071372
               0.2356831                       5.1064553
               0.2357958                       5.1064181
                0.237988                       5.1056938
              0.24018018                       5.1049633
              0.24237238                       5.1042271
              0.24456456                       5.1034846
              0.24675676                       5.1027365
              0.24887958                       5.1020064
              0.24894895                       5.1019821
              0.25114113                       5.1012225
              0.25333333                       5.1004562
              0.25552553                       5.0996847
              0.25771773                        5.098907
               0.2599099                       5.0981236
               0.2621021                       5.0973344
              0.26281497                       5.0970764
               0.2642943                       5.0965395
               0.2664865                       5.0957384
              0.26867867                       5.0949316
              0.27087086                       5.0941191
              0.27306306                       5.0933008
              0.27525526                       5.0924764
              0.27744746                       5.0916467
              0.27753064                       5.0916152
              0.27963963                       5.0908113
              0.28183183                       5.0899696
              0.28402403                       5.0891223
              0.28621623                       5.0882697
               0.2884084                       5.0874109
               0.2906006                       5.0865469
               0.2927928                       5.0856771
              0.29307029                       5.0855665
                0.294985                       5.0848012
              0.29717717                         5.08392
              0.29936936                       5.0830331
              0.30156156                       5.0821409
              0.30375376                       5.0812426
              0.30594593                        5.080339
              0.30813813                       5.0794296
              0.30948001                       5.0788703
              0.31033033                       5.0785146
              0.31252253                       5.0775943
               0.3147147                       5.0766683
               0.3169069                        5.075737
               0.3190991                          5.0748
               0.3212913                       5.0738573
               0.3234835                       5.0729094
              0.32567567                       5.0719557
              0.32680857                       5.0714607
              0.32786787                       5.0709968
              0.33006006                       5.0700326
              0.33225226                       5.0690627
              0.33444443                       5.0680876
              0.33663663                       5.0671072
              0.33882883                       5.0661211
              0.34102103                       5.0651298
               0.3432132                       5.0641332
              0.34510741                       5.0632677
               0.3454054                       5.0631313
               0.3475976                       5.0621238
               0.3497898                       5.0611115
              0.35198197                       5.0600934
              0.35417417                       5.0590706
              0.35636637                        5.058042
              0.35855857                       5.0570087
              0.36075076                       5.0559697
              0.36294293                       5.0549259
              0.36443084                       5.0542145
              0.36513513                       5.0538769
              0.36732733                       5.0528226
              0.36951953                       5.0517631
               0.3717117                       5.0506988
               0.3739039                       5.0496292
               0.3760961                       5.0485544
               0.3782883                       5.0474744
              0.38048047                       5.0463896
              0.38267267                          5.0453
              0.38483623                       5.0442195
              0.38486487                       5.0442052
              0.38705707                       5.0431051
              0.38924924                       5.0420003
              0.39144143                       5.0408907
              0.39363363                       5.0397758
              0.39582583                       5.0386562
              0.39801803                       5.0375314
               0.4002102                       5.0364022
               0.4024024                       5.0352678
               0.4045946                       5.0341287
              0.40638417                        5.033195
               0.4067868                       5.0329847
              0.40897897                        5.031836
              0.41117117                       5.0306821
              0.41336337                       5.0295238
              0.41555557                       5.0283608
              0.41774774                       5.0271931
              0.41993994                       5.0260205
              0.42213213                       5.0248432
              0.42432433                       5.0236611
               0.4265165                       5.0224743
               0.4287087                       5.0212831
              0.42913863                        5.021049
               0.4309009                       5.0200872
               0.4330931                        5.018887
               0.4352853                       5.0176821
              0.43747747                       5.0164723
              0.43966967                       5.0152583
              0.44186187                       5.0140395
              0.44405407                       5.0128164
              0.44624624                       5.0115886
              0.44843844                       5.0103564
              0.45063064                         5.00912
              0.45282283                       5.0078788
               0.4531672                       5.0076838
                0.455015                       5.0066338
               0.4572072                        5.005384
               0.4593994                       5.0041294
               0.4615916                        5.002871
              0.46378377                       5.0016084
              0.46597597                       5.0003409
              0.46816817                       4.9990697
              0.47036037                       4.9977942
              0.47255254                       4.9965143
              0.47474474                       4.9952302
              0.47693694                       4.9939418
              0.47854117                       4.9929962
              0.47912914                       4.9926491
              0.48132133                       4.9913526
               0.4835135                       4.9900517
               0.4857057                       4.9887466
               0.4878979                       4.9874377
               0.4900901                       4.9861245
              0.49228227                        4.984807
              0.49447447                       4.9834857
              0.49666667                       4.9821606
              0.49885887                       4.9808311
              0.50105107                       4.9794979
              0.50324327                       4.9781609
              0.50533587                       4.9768806
              0.50543541                       4.9768195
              0.50762761                       4.9754744
              0.50981981                       4.9741254
                0.512012                       4.9727726
               0.5142042                        4.971416
               0.5163964                       4.9700551
               0.5185886                       4.9686909
               0.5207808                       4.9673223
                0.522973                       4.9659505
              0.52516514                       4.9645748
              0.52735734                       4.9631953
              0.52954954                        4.961812
              0.53174174                       4.9604254
              0.53363091                       4.9592271
              0.53393394                       4.9590344
              0.53612614                       4.9576406
              0.53831834                       4.9562426
              0.54051054                       4.9548411
              0.54270267                       4.9534359
              0.54489487                       4.9520273
              0.54708707                       4.9506154
              0.54927927                       4.9491997
              0.55147147                       4.9477801
              0.55366367                       4.9463577
              0.55585587                       4.9449315
              0.55804807                       4.9435019
              0.56024027                       4.9420686
              0.56243241                       4.9406323
              0.56351024                       4.9399247
              0.56462461                       4.9391923
              0.56681681                       4.9377489
              0.56900901                       4.9363027
              0.57120121                       4.9348526
               0.5733934                       4.9333997
               0.5755856                       4.9319429
               0.5777778                       4.9304833
              0.57996994                       4.9290204
              0.58216214                       4.9275541
              0.58435434                       4.9260845
              0.58654654                        4.924612
              0.58873874                       4.9231362
              0.59093094                       4.9216576
              0.59312314                       4.9201756
              0.59506255                       4.9188619
              0.59531534                       4.9186902
              0.59750754                        4.917202
              0.59969968                       4.9157109
              0.60189188                       4.9142165
              0.60408407                       4.9127192
              0.60627627                       4.9112191
              0.60846847                       4.9097157
              0.61066067                       4.9082093
              0.61285287                       4.9067006
              0.61504507                       4.9051886
              0.61723721                       4.9036732
              0.61942941                       4.9021554
              0.62162161                       4.9006348
              0.62381381                       4.8991113
              0.62600601                       4.8975849
              0.62819821                       4.8960562
              0.62838161                       4.8959279
              0.63039041                       4.8945241
               0.6325826                       4.8929896
               0.6347748                       4.8914523
              0.63696694                       4.8899121
              0.63915914                       4.8883691
              0.64135134                       4.8868237
              0.64354354                       4.8852758
              0.64573574                       4.8837252
              0.64792794                       4.8821716
              0.65012014                       4.8806157
              0.65231234                       4.8790574
              0.65450448                       4.8774962
              0.65669668                       4.8759327
              0.65888888                       4.8743668
              0.66108108                       4.8727984
              0.66327327                       4.8712273
              0.66356629                        4.871017
              0.66546547                       4.8696537
              0.66765767                       4.8680778
              0.66984987                       4.8664994
              0.67204207                       4.8649187
              0.67423421                       4.8633361
              0.67642641                       4.8617506
              0.67861861                       4.8601627
              0.68081081                        4.858573
              0.68300301                       4.8569803
              0.68519521                       4.8553858
              0.68738741                       4.8537889
              0.68957961                         4.85219
              0.69177175                       4.8505888
              0.69396394                       4.8489852
              0.69615614                       4.8473797
              0.69834834                       4.8457718
              0.70054054                        4.844162
              0.70072103                       4.8440294
              0.70273274                       4.8425498
              0.70492494                       4.8409357
              0.70711714                       4.8393197
              0.70930928                       4.8377013
              0.71150148                        4.836081
              0.71369368                       4.8344588
              0.71588588                       4.8328342
              0.71807808                       4.8312082
              0.72027028                       4.8295798
              0.72246248                       4.8279495
              0.72465467                       4.8263178
              0.72684687                       4.8246837
              0.72903901                       4.8230476
              0.73123121                       4.8214102
              0.73342341                       4.8197703
              0.73561561                       4.8181291
              0.73780781                       4.8164859
              0.73995614                       4.8148737
              0.74000001                       4.8148408
              0.74219221                       4.8131943
              0.74438441                       4.8115458
              0.74657655                       4.8098955
              0.74876875                       4.8082433
              0.75096095                       4.8065901
              0.75315315                       4.8049345
              0.75534534                       4.8032775
              0.75753754                       4.8016191
              0.75972974                       4.7999587
              0.76192194                       4.7982969
              0.76411414                       4.7966337
              0.76630628                       4.7949686
              0.76849848                       4.7933021
              0.77069068                       4.7916341
              0.77288288                       4.7899642
              0.77507508                       4.7882934
              0.77726728                       4.7866206
              0.77945948                       4.7849469
              0.78138816                        4.783473
              0.78165168                       4.7832713
              0.78384382                       4.7815948
              0.78603601                       4.7799163
              0.78822821                       4.7782369
              0.79042041                        4.776556
              0.79261261                       4.7748737
              0.79480481                         4.77319
              0.79699701                       4.7715049
              0.79918921                       4.7698188
              0.80138141                       4.7681313
              0.80357355                       4.7664423
              0.80576575                       4.7647524
              0.80795795                        4.763061
              0.81015015                       4.7613688
              0.81234235                        4.759675
              0.81453454                       4.7579799
              0.81672674                       4.7562842
              0.81891894                       4.7545872
              0.82111108                       4.7528887
              0.82330328                       4.7511892
                 0.82514                       4.7497649
              0.82549548                       4.7494888
              0.82768768                       4.7477875
              0.82987988                       4.7460847
              0.83207208                       4.7443814
              0.83426428                       4.7426767
              0.83645648                       4.7409711
              0.83864868                       4.7392645
              0.84084082                       4.7375569
              0.84303302                       4.7358484
              0.84522521                        4.734139
              0.84741741                       4.7324286
              0.84960961                       4.7307172
              0.85180181                       4.7290053
              0.85399401                       4.7272921
              0.85618621                       4.7255783
              0.85837835                       4.7238636
              0.86057055                       4.7221479
              0.86276275                       4.7204318
              0.86495495                       4.7187147
              0.86714715                       4.7169967
              0.86933935                       4.7152781
              0.87134165                       4.7137074
              0.87153155                       4.7135587
              0.87372375                       4.7118387
              0.87591594                       4.7101178
              0.87810808                        4.708396
              0.88030028                       4.7066741
              0.88249248                       4.7049513
              0.88468468                       4.7032275
              0.88687688                       4.7015033
              0.88906908                       4.6997786
              0.89126128                       4.6980534
              0.89345348                       4.6963272
              0.89564562                       4.6946011
              0.89783782                        4.692874
              0.90003002                       4.6911464
              0.90222222                       4.6894183
              0.90441442                       4.6876893
              0.90660661                       4.6859603
              0.90879881                       4.6842308
              0.91099101                       4.6825008
              0.91318321                       4.6807704
              0.91537535                        4.679039
              0.91756755                       4.6773081
              0.91975975                       4.6755762
              0.92013025                       4.6752834
              0.92195195                       4.6738439
              0.92414415                       4.6721115
              0.92633635                       4.6703787
              0.92852855                       4.6686454
              0.93072075                       4.6669116
              0.93291289                       4.6651778
              0.93510509                       4.6634436
              0.93729728                       4.6617093
              0.93948948                       4.6599746
              0.94168168                       4.6582394
              0.94387388                       4.6565042
              0.94606608                       4.6547685
              0.94825828                       4.6530328
              0.95045048                       4.6512971
              0.95264262                       4.6495609
              0.95483482                       4.6478248
              0.95702702                       4.6460881
              0.95921922                       4.6443515
              0.96141142                       4.6426148
              0.96360362                       4.6408782
              0.96579581                       4.6391411
              0.96798801                        4.637404
              0.97018015                       4.6356668
              0.97165066                       4.6345015
              0.97237235                       4.6339297
              0.97456455                       4.6321926
              0.97675675                        4.630455
              0.97894895                       4.6287179
              0.98114115                       4.6269803
              0.98333335                       4.6252432
              0.98552555                       4.6235056
              0.98771769                       4.6217685
              0.98990989                       4.6200309
              0.99210209                       4.6182938
              0.99429429                       4.6165566
              0.99648649                       4.6148195
              0.99867868                       4.6130824
               1.0008708                       4.6113458
               1.0030631                       4.6096091
               1.0052552                        4.607872
               1.0074475                       4.6061358
               1.0096396                       4.6043992
               1.0118319                        4.602663
